Laura San Giacomo
Fred Savage
John Sayles
Greta Scacchi
Johnathon Schaech
Liev Schreiber
Ridley Scott
Jerry Seinfeld
Tom Selleck
Peter Sellers
Yahoo Serious
William Shakespeare
Tupac Shakur
William Shatner
Martin Sheen
Gary Sinise
Marina Sirtis
Tom Skerritt
Helen Slater
Anna Nicole Smith
Jaclyn Smith
Alan Smithee
Wesley Snipes
Talisa Soto
Sissy Spacek
James Spader
Brent Spiner
Terence Stamp
Eric Stoltz
Madeleine Stowe
David Strathairn
Meryl Streep
Tami Stronach
Donald Sutherland
Kiefer Sutherland
Dominique Swain
Patrick Swayze
Lili Taylor
David Thewlis
Emma Thompson
Lea Thompson
Billy Bob Thornton
Meg Tilly
Marisa Tomei
Tamlyn Tomita
Jeanne Tripplehorn
Chris Tucker
Robin Tunney
Kathleen Turner
Casper Van Dien
Vince Vaughn
Paul Verhoeven
Gore Vidal
Nana Visitor
Jon Voight
Christopher Walken
Sela Ward
Lesley Ann Warren
John Waters
Teri Weigel
Peter Weller
Wim Wenders
Joanne Whalley
Wil Wheaton
Billy Wilder
Gene Wilder
Debra Winger
Kate Winslet
Reese Witherspoon
BD Wong
Elijah Wood
Robin Wright
Michelle Yeoh
Sean Young
Billy Zane
David Raksin
Rick Baker
Steve Cohen
Joel Oliansky
Willie Aames
Caroline Aaron
Paula Abdul
Ian Abercrombie
Jim Abrahams
Victoria Abril
Joss Ackland
Deborah Adair
Brooke Adams
Joey Lauren Adams
Maud Adams
Percy Adlon
Mario Adorf
John Agar
Brian Aherne
Danny Aiello
Eddie Albert
Brian Aldiss
Robert Aldrich
Jane Alexander
Muhammad Ali
Irwin Allen
Tim Allen
June Allyson
Maria Conchita Alonso
Carol Alt
Trini Alvarado
Don Ameche
Leon Ames
Jon Amiel
Suzy Amis
Judith Anderson
Juliet Anderson
Kevin Anderson
Lindsay Anderson
Loni Anderson
Melissa Sue Anderson
Melody Anderson
Richard Dean Anderson
Bibi Andersson
Anthony Andrews
Dana Andrews
Pier Angeli
Theodoros Angelopoulos
Francesca Annis
David Anspaugh
Lysette Anthony
Susan Anton
Laura Antonelli
Michelangelo Antonioni
Christina Applegate
Michael Apted
Gregg Araki
Alfonso Arau
Denys Arcand
Eve Arden
Asia Argento
Dario Argento
Alison Armitage
George Armitage
Bess Armstrong
Gillian Armstrong
James Arness
Jack Arnold
Tom Arnold
Alexis Arquette
Lewis Arquette
Jean Arthur
Dana Ashbrook
Hal Ashby
Linden Ashby
Armand Assante
Olivier Assayas
Mary Astor
Christopher Atkins
Claudine Auger
Bille August
Jane Austen
Paul Auster
Gene Autry
Frankie Avalon
Roger Avary
Tex Avery
Mili Avital
Jon Avnet
Lew Ayres
Shabana Azmi
Burt Bacharach
Amitabh Bachchan
Jim Backus
Angelo Badalamenti
John Badham
Mary Badham
Jane Badler
Maxine Bahns
Barbara Bain
Oksana Baiul
Diane Baker
Joe Don Baker
Kathy Baker
Ralph Bakshi
Scott Bakula
Bob Balaban
Daniel Baldwin
Lucille Ball
Michael Ballhaus
Martin Balsam
Anne Bancroft
Tamasaburo Bando
Tallulah Bankhead
Ian Bannen
Theda Bara
Olivia Barash
Clive Barker
Lex Barker
Bruno Barreto
Majel Barrett
Ethel Barrymore
John Drew Barrymore
John Barrymore
Paul Bartel
Freddie Bartholomew
Robin Bartlett
Billy Barty
Mikhail Baryshnikov
Richard Basehart
Saul Bass
Jason Bateman
Justine Bateman
Kathy Bates
Randall Batinkoff
Patrick Bauchau
Belinda Bauer
Steven Bauer
Noah Baumbach
Lamberto Bava
Mario Bava
Meredith Baxter
Michael Bay
Nathalie Baye
Stephanie Beacham
Jennifer Beals
Ned Beatty
Warren Beatty
Harold Becker
Meret Becker
Wallace Beery
Jason Beghe
Barbara Bel Geddes
Harry Belafonte
Ralph Bellamy
Kathleen Beller
Pamela Bellwood
James Belushi
Brian Benben
William Bendix
Roberto Benigni
Annette Bening
Richard Benjamin
David Bennent
Joan Bennett
Nigel Bennett
Jack Benny
Robby Benson
Robert Benton
Bruce Beresford
Peter Berg
Polly Bergen
Helmut Berger
Patrick Bergin
Andrew Bergman
Sandahl Bergman
Busby Berkeley
Elizabeth Berkley
Steven Berkoff
Milton Berle
Irving Berlin
Sandra Bernhard
Elmer Bernstein
Elizabeth Berridge
Halle Berry
Valerie Bertinelli
Bernardo Bertolucci
Bibi Besch
Martine Beswick
Richard Beymer
Daniela Bianchi
Bigas Luna
Kathryn Bigelow
Theodore Bikel
Traci Bingham
Antonia Bird
Jane Birkin
Whit Bissell
Karen Black
Shane Black
Brenda Blethyn
Joan Blondell
Hart Bochner
Peter Bogdanovich
Jon Bon Jovi
Ward Bond
Lisa Bonet
Jan de Bont
John Boorman
Barry Bostwick
Timothy Bottoms
Carole Bouquet
Stephen Boyd
Charles Boyer
Danny Boyle
Lorraine Bracco
Eric Braeden
Sonia Braga
Jonathan Brandis
Nicoletta Braschi
Tinto Brass
Benjamin Bratt
Walter Brennan
Robert Bresson
Martin Brest
Beau Bridges
Lloyd Bridges
Jim Broadbent
James Brolin
Josh Brolin
Albert Brooks
Avery Brooks
Bryan Brown
Jim Brown
Jerry Bruckheimer
Betty Buckley
Billie Burke
Carol Burnett
Raymond Burr
Ellen Burstyn
LeVar Burton
Gary Busey
Jake Busey
Tom Byron
